"","cell_ID","latitude","longitude","long","lat","biomass","gridcell"
"1890",90099,69.748520121,-146.310203926,-146,69.5,140.327926635742,"_69.5_-146"
"1891",60147,69.957770121,-143.730725926,-143.5,69.5,223.317016601562,"_69.5_-143.5"
"1892",63786,69.932660121,-143.682809926,-143.5,69.5,272.306701660156,"_69.5_-143.5"
"1893",95263,69.715040121,-143.754683926,-143.5,69.5,350.302429199219,"_69.5_-143.5"
"1894",76799,69.840590121,-146.142497926,-146,69.5,243.647247314453,"_69.5_-146"
"1895",107600,69.631340121,-141.941861926,-141.5,69.5,114.508972167969,"_69.5_-141.5"
"1896",55216,69.991250121,-144.425507926,-144,69.5,408.970886230469,"_69.5_-144"
"1897",62674,69.941030121,-142.892195926,-142.5,69.5,129.453002929688,"_69.5_-142.5"
"1898",93863,69.723410121,-145.264037926,-145,69.5,385.619567871094,"_69.5_-145"
"1899",97823,69.698300121,-142.652615926,-142.5,69.5,311.164489746094,"_69.5_-142.5"
"1900",90436,69.748520121,-143.618921926,-143.5,69.5,306.375213623047,"_69.5_-143.5"
"1901",47990,70.041470121,-144.106067926,-144,70,236.115798950195,"_70_-144"
"1902",96744,69.706670121,-141.598463926,-141.5,69.5,184.463958740234,"_69.5_-141.5"
"1903",119446,69.547640121,-144.050165926,-144,69.5,241.644348144531,"_69.5_-144"
"1904",105001,69.648080121,-143.355383926,-143,69.5,442.868347167969,"_69.5_-143"
"1905",69529,69.890810121,-146.174441926,-146,69.5,477.444427490234,"_69.5_-146"
"1906",130270,69.472310121,-144.649115926,-144.5,69,366.466613769531,"_69_-144.5"
"1907",87833,69.765260121,-145.064387926,-145,69.5,476.636413574219,"_69.5_-145"
"1908",93970,69.723410121,-144.409535926,-144,69.5,86.637565612793,"_69.5_-144"
"1909",121965,69.530900121,-143.275523926,-143,69.5,534.173217773438,"_69.5_-143"
"1910",77099,69.840590121,-143.746697926,-143.5,69.5,214.737152099609,"_69.5_-143.5"
"1911",55368,69.991250121,-143.211635926,-143,69.5,189.644073486328,"_69.5_-143"
"1912",137504,69.422090121,-144.904667926,-144.5,69,201.955291748047,"_69_-144.5"
"1913",104909,69.648080121,-144.090095926,-144,69.5,338.9931640625,"_69.5_-144"
"1914",68391,69.899180121,-145.591463926,-145.5,69.5,461.913146972656,"_69.5_-145.5"
"1915",52658,70.007990121,-145.511603926,-145.5,70,127.248733520508,"_70_-145.5"
"1916",61314,69.949400121,-144.082109926,-144,69.5,132.345642089844,"_69.5_-144"
"1917",90686,69.748520121,-141.622421926,-141.5,69.5,159.611602783203,"_69.5_-141.5"
"1918",99910,69.681560121,-145.327925926,-145,69.5,142.166198730469,"_69.5_-145"
"1919",101334,69.673190121,-143.626907926,-143.5,69.5,405.884216308594,"_69.5_-143.5"
"1920",102558,69.664820121,-143.523089926,-143.5,69.5,486.302062988281,"_69.5_-143.5"
"1921",102679,69.664820121,-142.556783926,-142.5,69.5,181.588485717773,"_69.5_-142.5"
"1922",67467,69.907550121,-143.299481926,-143,69.5,275.768310546875,"_69.5_-143"
"1923",91299,69.740150121,-146.398049926,-146,69.5,124.606178283691,"_69.5_-146"
"1924",124240,69.514160121,-144.449465926,-144,69.5,227.880157470703,"_69.5_-144"
"1925",109916,69.614600121,-142.788377926,-142.5,69.5,343.086608886719,"_69.5_-142.5"
"1926",101443,69.673190121,-142.756433926,-142.5,69.5,232.163955688477,"_69.5_-142.5"
"1927",88965,69.756890121,-145.695281926,-145.5,69.5,358.04833984375,"_69.5_-145.5"
"1928",104006,69.656450121,-141.630407926,-141.5,69.5,112.332733154297,"_69.5_-141.5"
"1929",74679,69.857330121,-143.730725926,-143.5,69.5,204.927093505859,"_69.5_-143.5"
"1930",136294,69.430460121,-144.896681926,-144.5,69,180.229568481445,"_69_-144.5"
"1931",101004,69.673190121,-146.262287926,-146,69.5,608.036071777344,"_69.5_-146"
"1932",69812,69.890810121,-143.914403926,-143.5,69.5,321.936950683594,"_69.5_-143.5"
"1933",106384,69.639710121,-141.981791926,-141.5,69.5,167.709838867188,"_69.5_-141.5"
"1934",82100,69.807110121,-142.492895926,-142,69.5,128.651962280273,"_69.5_-142"
"1935",52801,70.007990121,-144.369605926,-144,70,304.595855712891,"_70_-144"
"1936",107405,69.631340121,-143.499131926,-143,69.5,427.723388671875,"_69.5_-143"
"1937",117087,69.564380121,-143.547047926,-143.5,69.5,348.937225341797,"_69.5_-143.5"
"1938",73356,69.865700121,-144.625157926,-144.5,69.5,297.735931396484,"_69.5_-144.5"
"1939",43269,70.074950121,-143.123789926,-143,70,169.77229309082,"_70_-143"
"1940",58752,69.966140121,-145.200149926,-145,69.5,260.208862304688,"_69.5_-145"
"1941",84356,69.790370121,-143.818571926,-143.5,69.5,316.353057861328,"_69.5_-143.5"
"1942",61408,69.949400121,-143.331425926,-143,69.5,69.5017700195312,"_69.5_-143"
"1943",55293,69.991250121,-143.810585926,-143.5,69.5,245.773193359375,"_69.5_-143.5"
"1944",133978,69.447200121,-144.050165926,-144,69,342.004119873047,"_69_-144"
"1945",117085,69.564380121,-143.563019926,-143.5,69.5,385.013702392578,"_69.5_-143.5"
"1946",100087,69.681560121,-143.914403926,-143.5,69.5,318.335815429688,"_69.5_-143.5"
"1947",48048,70.041470121,-143.642879926,-143.5,70,194.130462646484,"_70_-143.5"
"1948",73471,69.865700121,-143.706767926,-143.5,69.5,150.441329956055,"_69.5_-143.5"
"1949",60187,69.957770121,-143.411285926,-143,69.5,171.828140258789,"_69.5_-143"
"1950",119572,69.547640121,-143.043929926,-143,69.5,239.780456542969,"_69.5_-143"
"1951",73503,69.865700121,-143.451215926,-143,69.5,200.561370849609,"_69.5_-143"
"1952",85553,69.782000121,-143.930375926,-143.5,69.5,408.415832519531,"_69.5_-143.5"
"1953",105115,69.648080121,-142.444979926,-142,69.5,229.462326049805,"_69.5_-142"
"1954",114953,69.581120121,-141.247079926,-141,69.5,127.24243927002,"_69.5_-141"
"1955",79208,69.823850121,-146.246315926,-146,69.5,282.983154296875,"_69.5_-146"
"1956",108736,69.622970121,-142.540811926,-142.5,69.5,276.578094482422,"_69.5_-142.5"
"1957",110106,69.614600121,-141.271037926,-141,69.5,190.321258544922,"_69.5_-141"
"1958",46576,70.049840121,-145.727225926,-145.5,70,82.6057434082031,"_70_-145.5"
"1959",72107,69.874070121,-144.928625926,-144.5,69.5,310.247467041016,"_69.5_-144.5"
"1960",66230,69.915920121,-143.507117926,-143.5,69.5,209.258514404297,"_69.5_-143.5"
"1961",123077,69.522530121,-144.066137926,-144,69.5,194.721313476562,"_69.5_-144"
"1962",120976,69.539270121,-141.502631926,-141.5,69.5,589.474731445312,"_69.5_-141.5"
"1963",50528,70.024730121,-143.179691926,-143,70,149.785354614258,"_70_-143"
"1964",79576,69.823850121,-143.307467926,-143,69.5,214.297454833984,"_69.5_-143"
